From	To	mean	median	l95hpd	h95hpd	BAYES_FACTOR	POSTERIOR PROBABILITY
mp1	West 	0.983909067	0.68001582	4.43E-05	2.956462817	5.78633218	0.743139651
east	West 	0.981895929	0.678810138	2.17E-05	2.92724072	5.616133126	0.737399548
east	mp1 	0.986750933	0.682216289	4.32E-05	2.976425157	2.982562967	0.598600156
mp1	east 	0.976784701	0.675847681	2.33E-05	2.944925311	2.967439294	0.597378069
West	east 	0.991257465	0.685895847	4.14E-06	2.982414907	2.33434992	0.538569789
West	mp1 	0.98424225	0.679101636	3.28E-05	2.972929067	2.304638929	0.535384957
