From	To	mean	median	l95hpd	h95hpd	BAYES_FACTOR	POSTERIOR PROBABILITY
mp1	mp2 	0.985856943	0.674008109	2.73E-05	2.989949133	1.029039453	0.455949339
mp1	mp3 	0.984672256	0.681973834	2.31E-05	2.974294004	1.039689652	0.458504611
mp2	mp3 	0.970541263	0.668750148	8.08E-05	2.910548358	1.433360584	0.538606821
mp2	mp1 	0.992646325	0.682991036	2.84E-05	2.997755404	3.030581504	0.711661667
mp3	mp1 	0.987458962	0.677690039	6.31E-05	2.991543399	3.045400214	0.712661556
mp3	mp2 	0.970363349	0.660529924	7.07E-05	2.958350356	1.411330123	0.534755398
