	GMRF Skyride: washington_covid_200M_combined.log			
Time	Mean	Median	Upper	Lower
2020.7513661202186	0.3163717523817116	0.22984698270834353	1.0844344551833605	0.045321287323781455
2020.7451225525147	0.3228138906777643	0.24324074511637506	1.0378216565625002	0.0530430687826099
2020.7388789848108	0.3447791087125125	0.26822907070888025	1.0572605949917202	0.06962798048563364
2020.7326354171068	0.3736803988683248	0.3032473105969776	1.07085990036263	0.08905073893143886
2020.726391849403	0.3994040199713901	0.33221059810684733	1.091520619358029	0.10728490204354257
2020.720148281699	0.42723046771876416	0.3597448901681359	1.1210882216041609	0.12332456217468721
2020.7139047139951	0.46999465690995273	0.40278353331500155	1.1784127573971948	0.15018721713327593
2020.7076611462912	0.5598222988697762	0.49625152482027224	1.2917193844739567	0.20246184711092835
2020.7014175785873	0.7083003678582781	0.6402402602337646	1.538585040755966	0.28759865577072374
2020.6951740108834	0.9265679144344031	0.8429120027219206	1.9243866045990061	0.39377395824033196
2020.6889304431795	1.1618435156358242	1.060597305189798	2.4057503004554515	0.5084594057680306
2020.6826868754756	1.3830836273572744	1.2675311488745409	2.8090531596998685	0.6139166113290051
2020.6764433077717	1.6200205483649703	1.4940347214080347	3.2749651628433396	0.7367864394155732
2020.6701997400678	1.7873399996184345	1.6392805142351916	3.605149258586989	0.8091170451965347
2020.663956172364	2.0196249704011366	1.8563523160698125	4.065806817311776	0.923007846701908
2020.65771260466	2.3074803153652734	2.109532103230573	4.751132631927561	1.0360943980626196
2020.651469036956	2.6145034412593158	2.3768727937366974	5.382725990758654	1.1807852945985493
2020.6452254692522	2.8377308453368166	2.564880858157373	5.925987713695159	1.267248436991661
2020.6389819015483	3.008726027386451	2.7060905089345604	6.427021678649994	1.294362359932486
2020.6327383338444	3.2709741162305632	2.9637500256461364	6.89036337040621	1.416981293647998
2020.6264947661405	3.4755452301978265	3.1395058958002786	7.460749233614702	1.5283180357964523
2020.6202511984366	3.6185808644500326	3.274503717854436	7.822495116165705	1.5788682479588592
2020.6140076307327	3.735079703745382	3.3747798829551217	8.027433657102934	1.605301368039552
2020.6077640630288	3.9478015487677163	3.5363030024375526	8.56151203775744	1.686058025868517
2020.6015204953248	4.174045477678375	3.7505471416784824	8.985503017934427	1.7696988211581224
2020.595276927621	4.351471463181681	3.941040221092075	9.39862936617933	1.8503336233982552
2020.589033359917	4.433823921037127	4.004735234170873	9.631066625023648	1.8723471160130387
2020.5827897922131	4.420213836892044	3.9959559364993296	9.509010503005914	1.8655011822126526
2020.5765462245092	4.317681463425521	3.919046810295911	9.147908430186774	1.8481383615581515
2020.5703026568053	4.117322590582191	3.7496595182434227	8.761591396782771	1.757374446609137
2020.5640590891014	3.9015137361850174	3.5355317235044557	8.299399884290354	1.6498390988146547
2020.5578155213975	3.6629799125684737	3.348393184521552	7.584803882978922	1.5555262450547165
2020.5515719536936	3.4237475407261884	3.128830243072152	7.067039529477643	1.4669388412938429
2020.5453283859897	3.188848721691866	2.925588068265527	6.463484988274198	1.3933533124388233
2020.5390848182858	3.0204319814402796	2.796584182394288	5.999866582118371	1.3390506736447845
2020.532841250582	2.915954697944156	2.6777181523939295	5.775974045768894	1.3281975228095095
2020.526597682878	2.82882648279821	2.6021169358940845	5.663674007808162	1.3228116451249514
2020.520354115174	2.7263651930207153	2.5216686780152564	5.311779133827324	1.3116783809143073
2020.5141105474702	2.5522395586195072	2.3783340365944006	4.952233791065479	1.2250014678531813
2020.5078669797663	2.342397032447755	2.1925114911356367	4.427890932551162	1.1260199786982823
2020.5016234120624	2.1033100896661496	1.9712116248529625	3.892129171076546	1.022309076528351
2020.4953798443585	1.8897271240356825	1.768207328123936	3.5786917978863775	0.9345924540734907
2020.4891362766546	1.7079351173680506	1.6010448247862203	3.224731244531282	0.8397668079585301
2020.4828927089507	1.5441734837675256	1.449120838485142	2.8626376267479134	0.7616631887072144
2020.4766491412468	1.4318528394703067	1.3526422169676773	2.6349042880479394	0.6983677443351921
2020.4704055735428	1.3763329683424705	1.2998471777101992	2.492532615448555	0.6720150125306218
2020.464162005839	1.3599390335352821	1.2890783259832037	2.4344528068850764	0.7083041883519379
2020.457918438135	1.330264999553682	1.2683612611414004	2.3006615358042968	0.6939512095014805
2020.4516748704311	1.3718431561899789	1.3109037013589897	2.34995053717487	0.7437362910555135
2020.4454313027272	1.4491554571873462	1.3849569914324438	2.4546807197834264	0.8045481960537829
2020.4391877350233	1.60884593310975	1.5416130013945992	2.6981186132152275	0.8954939539229472
2020.4329441673194	1.8227936588058626	1.7531042075849235	3.0475458756279528	1.0494125564836625
2020.4267005996155	2.0562541468743376	1.9694262961871842	3.483098524455324	1.1894844785637708
2020.4204570319116	2.242739779743592	2.1358184256898496	3.762979501825967	1.291709058254429
2020.4142134642077	2.3427807369784683	2.237946431359104	3.9403331737535097	1.356466059264985
2020.4079698965038	2.356554932095995	2.256291244887437	3.949768403413134	1.3541436040708608
2020.4017263288	2.3261625788844356	2.2325348608653677	3.9366214082117974	1.3184428610291878
2020.395482761096	2.2496607589850566	2.162465172097864	3.7290551082835055	1.300063807124157
2020.389239193392	2.1766660798113886	2.0857143548177426	3.6517873583486185	1.23181259982018
2020.3829956256882	2.205900697713777	2.112857671917486	3.7375234572668923	1.2427418032391788
2020.3767520579843	2.3157575521100444	2.2219652653568134	3.8095465663723926	1.3262977388345103
2020.3705084902804	2.279632342624249	2.1846668551516	3.843166398528188	1.2964971544390802
2020.3642649225765	2.1610040315312014	2.0624769273784023	3.6225911105020456	1.217925945506149
2020.3580213548726	2.0564512106391906	1.9681786156004104	3.467958462145189	1.1723658764231752
2020.3517777871687	1.94042806011704	1.8579346728296133	3.2312085836240807	1.0929619825358885
2020.3455342194648	1.839618132158241	1.7595691364142791	3.0582481459279824	1.0601612568434773
2020.3392906517608	1.7903482066196312	1.7168259470187306	3.005311979404759	1.0113519217289033
2020.333047084057	1.7357118880176046	1.6630736954539531	2.8730761743981152	0.9935013955787075
2020.326803516353	1.7000395542319269	1.6281180698317343	2.8698821626364466	0.9745609640027922
2020.3205599486491	1.6658822464519711	1.5972610537579806	2.817105630154659	0.9456805842223224
2020.3143163809452	1.520583924862615	1.4557036939053085	2.548764027702615	0.8582959030146574
2020.3080728132413	1.3468577945823927	1.2902899269049795	2.2714305451188412	0.7502185325513835
2020.3018292455374	1.2033708172862245	1.1513379244161477	2.03011605484787	0.6775367174462118
2020.2955856778335	1.0729323976742948	1.0234945835988045	1.7918141726200303	0.5944465727254907
2020.2893421101296	0.97784513565904	0.9344480270430155	1.6504287221944907	0.5413438720031818
2020.2830985424257	0.8833258668197382	0.8501012742569708	1.4730992378876129	0.49671027503698195
2020.2768549747218	0.789998007203532	0.760389023099875	1.3200416293794275	0.440754402697196
2020.270611407018	0.7155323259402583	0.6850658406273012	1.210240637708669	0.3981794266648897
2020.264367839314	0.6745390338156488	0.6484791806528285	1.113829501790138	0.3818938141563485
2020.25812427161	0.6321021445964956	0.6073847855852322	1.0658461183094643	0.35062299609821007
2020.2518807039062	0.6400769830086008	0.6110628999066707	1.1031877508543388	0.35903243479242136
2020.2456371362023	0.6482802796470196	0.6156349308454463	1.1108116757382571	0.36914615168364534
2020.2393935684984	0.568804113863016	0.5434378542000321	0.971974309340829	0.3208157929683144
2020.2331500007945	0.48729269446982737	0.4656641159854701	0.8170546880617336	0.27105057316447523
2020.2269064330906	0.4486439739447195	0.43003702402525373	0.7570868391282464	0.2547611269581217
2020.2206628653867	0.4143281742395649	0.39608592193024333	0.7129775966001405	0.2318646686384142
2020.2144192976828	0.38725259640822535	0.3681473323311098	0.6716155980793299	0.2110633393817632
2020.2081757299788	0.32627203487130985	0.30806013616187916	0.5931524152618095	0.16667541673000402
2020.201932162275	0.28227582106080296	0.26628754890909606	0.5143131472294828	0.14379976929899
2020.195688594571	0.24550850896811144	0.23165234309068924	0.45103522684806535	0.12156181884546918
2020.1894450268671	0.2125608150800907	0.19870790843512626	0.4019128843300915	0.09979598047305471
2020.1832014591632	0.1881857159824228	0.17309953750278878	0.3765864835792099	0.08257538102287869
2020.1769578914593	0.16959018842508553	0.1549109122923284	0.3557415290094696	0.07061487310229167
2020.1707143237554	0.1587331455498275	0.14317340210107646	0.3393226759375387	0.06548558011915333
2020.1644707560515	0.1534653754280666	0.13748185355411824	0.3286247045950862	0.06182535022095671
