"","week","morans.i","p"
"1",2020-01-19,-0.521403033771909,0.698956980738439
"2",2020-01-26,-0.304346020031075,0.619567855989607
"3",2020-02-02,1.41106619514308,0.0791125482890375
"4",2020-02-09,-0.0916276750092904,0.536503068769729
"5",2020-02-16,0.0824649075083621,0.467138511504442
"6",2020-02-23,2.4718065484862,0.00672161200285413
"7",2020-03-01,2.58370612080465,0.00488725207646049
"8",2020-03-08,2.66354918167397,0.0038660554075753
"9",2020-03-15,2.74410152337946,0.0030338384750323
"10",2020-03-22,3.03042143867009,0.00122106355347344
"11",2020-03-29,3.22554783715122,0.000628659109934213
"12",2020-04-05,3.08519612421048,0.00101708984579449
"13",2020-04-12,3.03847225518141,0.00118890499579328
"14",2020-04-19,2.80308446136989,0.00253082059096112
"15",2020-04-26,2.9652087828224,0.00151238786128547
"16",2020-05-03,2.83599547901282,0.00228415463415391
"17",2020-05-10,2.51633706731682,0.00592908572079401
"18",2020-05-17,1.93527450985992,0.0264783092972386
"19",2020-05-24,1.73121720442428,0.0417065159817695
"20",2020-05-31,1.57359399235313,0.0577906715161269
"21",2020-06-07,2.00583709295076,0.0224368158560693
"22",2020-06-14,2.03634345610846,0.0208579395160968
"23",2020-06-21,1.96714277439494,0.0245833765711878
"24",2020-06-28,1.89886947479018,0.0287908198596139
"25",2020-07-05,2.09310843629858,0.0181697378989194
"26",2020-07-12,2.32180375110355,0.0101217525951574
"27",2020-07-19,2.29562619124972,0.010848631951449
"28",2020-07-26,2.24503495983634,0.012382944173464
"29",2020-08-02,2.26781100428637,0.0116703642060526
"30",2020-08-09,2.41349347494007,0.0079002053980038
"31",2020-08-16,2.36170708789154,0.00909550439516281
"32",2020-08-23,1.54424156776245,0.0612649111205022
"33",2020-08-30,1.19376844429481,0.116284279276675
"34",2020-09-06,1.15426789668951,0.124195176944044
"35",2020-09-13,0.67380643138207,0.250217192741171
"36",2020-09-20,0.909769521201719,0.181472035768064
"37",2020-09-27,1.37085263485682,0.0852104495443776
"38",2020-10-04,1.49484195440719,0.0674778470348796
"39",2020-10-11,1.73692777180402,0.0411999603463526
"40",2020-10-18,1.68152308347201,0.0463306783087518
"41",2020-10-25,1.76666529669524,0.038642149246816
"42",2020-11-01,1.6458323640237,0.0498991385505659
"43",2020-11-08,1.66768278089673,0.0476893576964009
"44",2020-11-15,1.79838937881351,0.0360576623579083
"45",2020-11-22,1.85057174934379,0.0321155935365412
"46",2020-11-29,1.84265957398788,0.0326893649533562
"47",2020-12-06,1.79454653001909,0.0363629894166223
"48",2020-12-13,1.94634104273297,0.0258068932744735
"49",2020-12-20,2.31545526004171,0.0102940151611024
"50",2020-12-27,2.27977934222638,0.011310389399466
"51",2021-01-03,1.92168035469118,0.027322995340633
"52",2021-01-10,1.79735115586736,0.03613994487392
"53",2021-01-17,1.91077633858955,0.0280166648358531
"54",2021-01-24,1.78176857225761,0.0373934896413155
"55",2021-01-31,1.61604171604724,0.0530426471006493
