"","week","Adams","Asotin","Benton","Chelan","Clallam","Clark","Columbia","Cowlitz","Douglas","Ferry","Franklin","Garfield","Grant","Grays Harbor","Island","Jefferson","King","Kitsap","Kittitas","Klickitat","Lewis","Lincoln","Mason","Okanogan","Pacific","Pend Oreille","Pierce","San Juan","Skagit","Skamania","Snohomish","Spokane","Stevens","Thurston","Wahkiakum","Walla Walla","Whatcom","Whitman","Yakima"
"19",2020-05-24,2.83333333333333,0,1.03191489361702,0.333333333333333,0,1,NA,0.25,0.466666666666667,NA,1.83561643835616,NA,2.0625,2,1,NA,1,0.5,0.25,NA,NA,NA,0.5,1.6,NA,0,1.25352112676056,NA,9,NA,0.592920353982301,1.02,0,6,NA,1.33333333333333,1.27777777777778,1,1.07784431137725
"20",2020-05-31,0.823529411764706,NA,1.84536082474227,0.823529411764706,NA,0.776315789473684,NA,17,0.357142857142857,NA,1.47761194029851,NA,0.393939393939394,0.5,0,0,0.863905325443787,9,0.4,2,0,NA,2,1.5,NA,NA,1.13483146067416,NA,1.44444444444444,NA,1,1.47058823529412,NA,0.875,NA,1.5,0.608695652173913,7,1.36111111111111
"21",2020-06-07,0.857142857142857,NA,1.18994413407821,0.642857142857143,1,0.694915254237288,NA,1.52941176470588,1.6,NA,1.24242424242424,NA,7.46153846153846,3,NA,NA,1.1472602739726,1.55555555555556,1,1,NA,NA,1.5,0.833333333333333,2,NA,0.98019801980198,NA,1.15384615384615,NA,1.59701492537313,0.633333333333333,1.5,1.28571428571429,NA,1.33333333333333,3.07142857142857,0.285714285714286,0.96530612244898
"22",2020-06-14,1.08333333333333,0,1.30046948356808,1.88888888888889,2,1.63414634146341,NA,1.42307692307692,1.5,NA,1.35365853658537,NA,1.37113402061856,1.33333333333333,NA,1,1.47462686567164,0.857142857142857,6,0.6,14,NA,0.666666666666667,0.9,0.5,NA,1.66666666666667,1,1.53333333333333,NA,1.62616822429907,2.13684210526316,0,0.666666666666667,NA,2.75,1.44186046511628,2,0.895348837209302
"23",2020-06-21,2.23076923076923,NA,1.09386281588448,2.35294117647059,0.75,2.32835820895522,0,0.945945945945946,3.5,NA,1.14114114114114,NA,0.729323308270677,1,0.375,5,1.79757085020243,3.58333333333333,3.83333333333333,1.66666666666667,1.64285714285714,NA,3.5,2.44444444444444,5,NA,1.66666666666667,1,1.08695652173913,NA,1.25862068965517,1.73399014778325,NA,2.27777777777778,1,1.31818181818182,1.7258064516129,1.25,0.929161747343565
"24",2020-06-28,1.86206896551724,1,1.11881188118812,2.75,2.66666666666667,1.18589743589744,NA,1.25714285714286,1.69047619047619,NA,1.05526315789474,NA,1.21649484536082,4,1.66666666666667,0.6,1.30405405405405,1,0.891304347826087,1.6,0.652173913043478,0,1,2.40909090909091,0,2,1.25818181818182,1,1.84,3,1.18264840182648,1.38920454545455,3,1.21951219512195,0,0.827586206896552,0.467289719626168,2,0.836086404066074
"25",2020-07-05,1.07407407407407,0,1.53392330383481,1.4,2,1.52432432432432,NA,2.11363636363636,1.42253521126761,NA,0.982543640897756,NA,1.64406779661017,0.5625,1.8,1,1.02677029360967,1.58139534883721,0.878048780487805,0.3125,1.66666666666667,NA,2,2.11320754716981,NA,4,1.32369942196532,2,1.60869565217391,1.41666666666667,1.35521235521236,1.02658486707566,2,1.76,NA,2.25,1.02,0.7,1.01367781155015
"26",2020-07-12,1.13793103448276,NA,0.588461538461538,1.15584415584416,0.3125,0.99645390070922,1,0.698924731182796,1.56435643564356,1.33333333333333,0.799492385786802,0,0.711340206185567,1.22222222222222,1.33333333333333,2,1.04457527333894,1.70588235294118,2.88888888888889,1.2,1.12,NA,1.42857142857143,2.4375,7,1.375,1.29257641921397,1.5,1.13513513513514,0.529411764705882,1.05128205128205,1.04780876494024,1.41666666666667,1.09090909090909,NA,1.01851851851852,1.47058823529412,2.28571428571429,0.767616191904048
"27",2020-07-19,0.787878787878788,NA,1.26797385620915,1.1685393258427,2.4,0.612099644128114,2,0.707692307692308,0.867088607594937,0.75,0.898412698412698,NA,1.27536231884058,2.09090909090909,1.41666666666667,0,0.942834138486312,1.05172413793103,0.5,2.16666666666667,1.21428571428571,2.5,2.4,0.637362637362637,0.857142857142857,1,1.25844594594595,1,0.738095238095238,0.444444444444444,0.951219512195122,1.11216730038023,0.882352941176471,0.822916666666667,NA,1.38181818181818,0.92,1,0.89453125
"28",2020-07-26,0.653846153846154,1,0.56701030927835,1.125,1.25,1.05813953488372,0.5,0.58695652173913,1.12408759124088,3,0.731448763250883,NA,0.948863636363636,0.695652173913043,0.411764705882353,NA,0.932536293766012,0.983606557377049,0.557692307692308,0.538461538461538,0.735294117647059,1.2,0.979166666666667,0.729885057471264,1.83333333333333,0.272727272727273,0.818791946308725,0,1.29032258064516,1.5,1.04273504273504,1.01538461538462,1.6,1.06329113924051,NA,1.32894736842105,1.04347826086957,0.75,0.796943231441048
