county week total.cases
PierceCounty 2020-08-02 498
SanJuanCounty 2020-08-02 0
SkagitCounty 2020-08-02 52
SkamaniaCounty 2020-08-02 3
SnohomishCounty 2020-08-02 332
SpokaneCounty 2020-08-02 463
StevensCounty 2020-08-02 19
ThurstonCounty 2020-08-02 100
WahkiakumCounty 2020-08-02 0
WallaWallaCounty 2020-08-02 76
WhatcomCounty 2020-08-02 54
WhitmanCounty 2020-08-02 31
YakimaCounty 2020-08-02 331
AdamsCounty 2020-08-09 52
AsotinCounty 2020-08-09 14
BentonCounty 2020-08-09 131
ChelanCounty 2020-08-09 170
ClallamCounty 2020-08-09 47
ClarkCounty 2020-08-09 177
ColumbiaCounty 2020-08-09 0
CowlitzCounty 2020-08-09 9
DouglasCounty 2020-08-09 74
FerryCounty 2020-08-09 0
FranklinCounty 2020-08-09 158
GarfieldCounty 2020-08-09 0
GrantCounty 2020-08-09 321
GraysHarborCounty 2020-08-09 30
IslandCounty 2020-08-09 6
JeffersonCounty 2020-08-09 6
KingCounty 2020-08-09 1029
KitsapCounty 2020-08-09 77
KittitasCounty 2020-08-09 16
KlickitatCounty 2020-08-09 50
LewisCounty 2020-08-09 50
LincolnCounty 2020-08-09 4
MasonCounty 2020-08-09 30
OkanoganCounty 2020-08-09 64
PacificCounty 2020-08-09 4
PendOreilleCounty 2020-08-09 5
PierceCounty 2020-08-09 412
SanJuanCounty 2020-08-09 1
SkagitCounty 2020-08-09 53
SkamaniaCounty 2020-08-09 1
SnohomishCounty 2020-08-09 260
SpokaneCounty 2020-08-09 303
StevensCounty 2020-08-09 7
ThurstonCounty 2020-08-09 68
WahkiakumCounty 2020-08-09 0
WallaWallaCounty 2020-08-09 93
WhatcomCounty 2020-08-09 43
WhitmanCounty 2020-08-09 10
YakimaCounty 2020-08-09 264
AdamsCounty 2020-08-16 60
AsotinCounty 2020-08-16 5
BentonCounty 2020-08-16 126
ChelanCounty 2020-08-16 131
ClallamCounty 2020-08-16 25
ClarkCounty 2020-08-16 155
ColumbiaCounty 2020-08-16 0
CowlitzCounty 2020-08-16 18
DouglasCounty 2020-08-16 74
FerryCounty 2020-08-16 1
FranklinCounty 2020-08-16 100
GarfieldCounty 2020-08-16 0
GrantCounty 2020-08-16 235
GraysHarborCounty 2020-08-16 71
IslandCounty 2020-08-16 12
JeffersonCounty 2020-08-16 6
KingCounty 2020-08-16 814
KitsapCounty 2020-08-16 101
KittitasCounty 2020-08-16 6
KlickitatCounty 2020-08-16 8
LewisCounty 2020-08-16 38
LincolnCounty 2020-08-16 0
MasonCounty 2020-08-16 29
OkanoganCounty 2020-08-16 56
PacificCounty 2020-08-16 2
PendOreilleCounty 2020-08-16 4
PierceCounty 2020-08-16 330
SanJuanCounty 2020-08-16 0
SkagitCounty 2020-08-16 50
SkamaniaCounty 2020-08-16 0
SnohomishCounty 2020-08-16 225
SpokaneCounty 2020-08-16 222
StevensCounty 2020-08-16 5
ThurstonCounty 2020-08-16 70
WahkiakumCounty 2020-08-16 1
WallaWallaCounty 2020-08-16 68
WhatcomCounty 2020-08-16 25
WhitmanCounty 2020-08-16 135
YakimaCounty 2020-08-16 186
AdamsCounty 2020-08-23 62
AsotinCounty 2020-08-23 4
BentonCounty 2020-08-23 158
ChelanCounty 2020-08-23 93
ClallamCounty 2020-08-23 13
ClarkCounty 2020-08-23 162
ColumbiaCounty 2020-08-23 0
CowlitzCounty 2020-08-23 19
DouglasCounty 2020-08-23 55
FerryCounty 2020-08-23 1
FranklinCounty 2020-08-23 98
GarfieldCounty 2020-08-23 0
GrantCounty 2020-08-23 200
GraysHarborCounty 2020-08-23 32
IslandCounty 2020-08-23 5
JeffersonCounty 2020-08-23 3
KingCounty 2020-08-23 822
KitsapCounty 2020-08-23 66
KittitasCounty 2020-08-23 3
KlickitatCounty 2020-08-23 16
LewisCounty 2020-08-23 25
LincolnCounty 2020-08-23 0
MasonCounty 2020-08-23 26
OkanoganCounty 2020-08-23 35
PacificCounty 2020-08-23 0
PendOreilleCounty 2020-08-23 1
PierceCounty 2020-08-23 283
SanJuanCounty 2020-08-23 0
SkagitCounty 2020-08-23 36
SkamaniaCounty 2020-08-23 0
SnohomishCounty 2020-08-23 257
SpokaneCounty 2020-08-23 266
StevensCounty 2020-08-23 4
ThurstonCounty 2020-08-23 61
WahkiakumCounty 2020-08-23 0
WallaWallaCounty 2020-08-23 44
WhatcomCounty 2020-08-23 45
WhitmanCounty 2020-08-23 327
YakimaCounty 2020-08-23 164
AdamsCounty 2020-08-30 92
AsotinCounty 2020-08-30 7
BentonCounty 2020-08-30 94
ChelanCounty 2020-08-30 86
ClallamCounty 2020-08-30 8
ClarkCounty 2020-08-30 208
ColumbiaCounty 2020-08-30 1
CowlitzCounty 2020-08-30 24
DouglasCounty 2020-08-30 41
FerryCounty 2020-08-30 4
FranklinCounty 2020-08-30 110
GarfieldCounty 2020-08-30 5
GrantCounty 2020-08-30 204
GraysHarborCounty 2020-08-30 63
IslandCounty 2020-08-30 2
JeffersonCounty 2020-08-30 0
KingCounty 2020-08-30 684
KitsapCounty 2020-08-30 47
KittitasCounty 2020-08-30 9
KlickitatCounty 2020-08-30 1
LewisCounty 2020-08-30 63
LincolnCounty 2020-08-30 2
MasonCounty 2020-08-30 17
OkanoganCounty 2020-08-30 13
PacificCounty 2020-08-30 13
PendOreilleCounty 2020-08-30 2
PierceCounty 2020-08-30 277
SanJuanCounty 2020-08-30 0
SkagitCounty 2020-08-30 27
SkamaniaCounty 2020-08-30 2
SnohomishCounty 2020-08-30 194
SpokaneCounty 2020-08-30 265
StevensCounty 2020-08-30 7
ThurstonCounty 2020-08-30 48
WahkiakumCounty 2020-08-30 0
WallaWallaCounty 2020-08-30 36
WhatcomCounty 2020-08-30 44
WhitmanCounty 2020-08-30 305
YakimaCounty 2020-08-30 155
AdamsCounty 2020-09-06 49
AsotinCounty 2020-09-06 15
BentonCounty 2020-09-06 85
ChelanCounty 2020-09-06 95
ClallamCounty 2020-09-06 5
ClarkCounty 2020-09-06 168
ColumbiaCounty 2020-09-06 0
CowlitzCounty 2020-09-06 12
DouglasCounty 2020-09-06 32
FerryCounty 2020-09-06 0
FranklinCounty 2020-09-06 79
GarfieldCounty 2020-09-06 2
GrantCounty 2020-09-06 163
GraysHarborCounty 2020-09-06 72
IslandCounty 2020-09-06 12
JeffersonCounty 2020-09-06 1
KingCounty 2020-09-06 582
KitsapCounty 2020-09-06 51
KittitasCounty 2020-09-06 22
KlickitatCounty 2020-09-06 6
LewisCounty 2020-09-06 41
LincolnCounty 2020-09-06 5
MasonCounty 2020-09-06 14
OkanoganCounty 2020-09-06 5
PacificCounty 2020-09-06 4
PendOreilleCounty 2020-09-06 2
PierceCounty 2020-09-06 229
SanJuanCounty 2020-09-06 0
SkagitCounty 2020-09-06 17
SkamaniaCounty 2020-09-06 0
SnohomishCounty 2020-09-06 150
SpokaneCounty 2020-09-06 331
StevensCounty 2020-09-06 4
ThurstonCounty 2020-09-06 40
WahkiakumCounty 2020-09-06 0
WallaWallaCounty 2020-09-06 30
WhatcomCounty 2020-09-06 62
WhitmanCounty 2020-09-06 164
YakimaCounty 2020-09-06 123
AdamsCounty 2020-09-13 44
AsotinCounty 2020-09-13 22
BentonCounty 2020-09-13 107
ChelanCounty 2020-09-13 46
ClallamCounty 2020-09-13 9
ClarkCounty 2020-09-13 220
ColumbiaCounty 2020-09-13 0
CowlitzCounty 2020-09-13 57
DouglasCounty 2020-09-13 18
FerryCounty 2020-09-13 0
FranklinCounty 2020-09-13 73
GarfieldCounty 2020-09-13 1
GrantCounty 2020-09-13 159
GraysHarborCounty 2020-09-13 80
IslandCounty 2020-09-13 10
JeffersonCounty 2020-09-13 0
KingCounty 2020-09-13 562
KitsapCounty 2020-09-13 30
KittitasCounty 2020-09-13 30
KlickitatCounty 2020-09-13 2
LewisCounty 2020-09-13 43
LincolnCounty 2020-09-13 2
MasonCounty 2020-09-13 23
OkanoganCounty 2020-09-13 8
PacificCounty 2020-09-13 3
PendOreilleCounty 2020-09-13 1
PierceCounty 2020-09-13 311
SanJuanCounty 2020-09-13 0
SkagitCounty 2020-09-13 20
SkamaniaCounty 2020-09-13 3
SnohomishCounty 2020-09-13 169
SpokaneCounty 2020-09-13 457
StevensCounty 2020-09-13 20
ThurstonCounty 2020-09-13 42
WahkiakumCounty 2020-09-13 0
WallaWallaCounty 2020-09-13 38
WhatcomCounty 2020-09-13 80
WhitmanCounty 2020-09-13 111
YakimaCounty 2020-09-13 139
AdamsCounty 2020-09-20 40
AsotinCounty 2020-09-20 25
BentonCounty 2020-09-20 109
ChelanCounty 2020-09-20 56
ClallamCounty 2020-09-20 5
ClarkCounty 2020-09-20 276
ColumbiaCounty 2020-09-20 0
CowlitzCounty 2020-09-20 47
DouglasCounty 2020-09-20 29
FerryCounty 2020-09-20 1
FranklinCounty 2020-09-20 97
GarfieldCounty 2020-09-20 0
GrantCounty 2020-09-20 128
GraysHarborCounty 2020-09-20 61
IslandCounty 2020-09-20 21
JeffersonCounty 2020-09-20 0
KingCounty 2020-09-20 684
KitsapCounty 2020-09-20 81
KittitasCounty 2020-09-20 21
KlickitatCounty 2020-09-20 0
LewisCounty 2020-09-20 69
LincolnCounty 2020-09-20 10
MasonCounty 2020-09-20 25
OkanoganCounty 2020-09-20 9
PacificCounty 2020-09-20 6
PendOreilleCounty 2020-09-20 6
PierceCounty 2020-09-20 362
SanJuanCounty 2020-09-20 0
SkagitCounty 2020-09-20 23
SkamaniaCounty 2020-09-20 2
SnohomishCounty 2020-09-20 235
SpokaneCounty 2020-09-20 568
StevensCounty 2020-09-20 24
ThurstonCounty 2020-09-20 86
WahkiakumCounty 2020-09-20 0
WallaWallaCounty 2020-09-20 41
WhatcomCounty 2020-09-20 71
WhitmanCounty 2020-09-20 141
YakimaCounty 2020-09-20 141
AdamsCounty 2020-09-27 16
AsotinCounty 2020-09-27 16
BentonCounty 2020-09-27 166
ChelanCounty 2020-09-27 50
ClallamCounty 2020-09-27 9
ClarkCounty 2020-09-27 254
ColumbiaCounty 2020-09-27 0
CowlitzCounty 2020-09-27 30
DouglasCounty 2020-09-27 20
FerryCounty 2020-09-27 0
FranklinCounty 2020-09-27 98
GarfieldCounty 2020-09-27 1
GrantCounty 2020-09-27 79
GraysHarborCounty 2020-09-27 50
IslandCounty 2020-09-27 9
JeffersonCounty 2020-09-27 3
KingCounty 2020-09-27 1057
KitsapCounty 2020-09-27 95
KittitasCounty 2020-09-27 38
KlickitatCounty 2020-09-27 5
LewisCounty 2020-09-27 75
LincolnCounty 2020-09-27 10
MasonCounty 2020-09-27 42
OkanoganCounty 2020-09-27 9
PacificCounty 2020-09-27 4
PendOreilleCounty 2020-09-27 25
PierceCounty 2020-09-27 364
SanJuanCounty 2020-09-27 0
SkagitCounty 2020-09-27 29
SkamaniaCounty 2020-09-27 1
SnohomishCounty 2020-09-27 275
SpokaneCounty 2020-09-27 574
StevensCounty 2020-09-27 22
ThurstonCounty 2020-09-27 116
WahkiakumCounty 2020-09-27 0
WallaWallaCounty 2020-09-27 27
WhatcomCounty 2020-09-27 50
WhitmanCounty 2020-09-27 90
YakimaCounty 2020-09-27 124
AdamsCounty 2020-10-04 20
AsotinCounty 2020-10-04 22
BentonCounty 2020-10-04 143
ChelanCounty 2020-10-04 75
ClallamCounty 2020-10-04 7
ClarkCounty 2020-10-04 319
ColumbiaCounty 2020-10-04 0
CowlitzCounty 2020-10-04 25
DouglasCounty 2020-10-04 38
FerryCounty 2020-10-04 1
FranklinCounty 2020-10-04 144
GarfieldCounty 2020-10-04 0
GrantCounty 2020-10-04 120
GraysHarborCounty 2020-10-04 50
IslandCounty 2020-10-04 26
JeffersonCounty 2020-10-04 5
KingCounty 2020-10-04 1095
KitsapCounty 2020-10-04 60
KittitasCounty 2020-10-04 69
KlickitatCounty 2020-10-04 5
LewisCounty 2020-10-04 41
LincolnCounty 2020-10-04 3
MasonCounty 2020-10-04 33
OkanoganCounty 2020-10-04 7
PacificCounty 2020-10-04 17
PendOreilleCounty 2020-10-04 35
PierceCounty 2020-10-04 494
SanJuanCounty 2020-10-04 0
SkagitCounty 2020-10-04 38
SkamaniaCounty 2020-10-04 1
SnohomishCounty 2020-10-04 407
SpokaneCounty 2020-10-04 617
StevensCounty 2020-10-04 20
ThurstonCounty 2020-10-04 122
WahkiakumCounty 2020-10-04 1
WallaWallaCounty 2020-10-04 22
WhatcomCounty 2020-10-04 67
WhitmanCounty 2020-10-04 142
YakimaCounty 2020-10-04 129
AdamsCounty 2020-10-11 17
AsotinCounty 2020-10-11 42
BentonCounty 2020-10-11 178
ChelanCounty 2020-10-11 73
ClallamCounty 2020-10-11 7
ClarkCounty 2020-10-11 304
ColumbiaCounty 2020-10-11 0
CowlitzCounty 2020-10-11 44
DouglasCounty 2020-10-11 22
FerryCounty 2020-10-11 2
FranklinCounty 2020-10-11 122
GarfieldCounty 2020-10-11 1
GrantCounty 2020-10-11 99
GraysHarborCounty 2020-10-11 51
IslandCounty 2020-10-11 16
JeffersonCounty 2020-10-11 2
KingCounty 2020-10-11 1077
KitsapCounty 2020-10-11 64
KittitasCounty 2020-10-11 70
KlickitatCounty 2020-10-11 3
LewisCounty 2020-10-11 39
LincolnCounty 2020-10-11 4
MasonCounty 2020-10-11 21
OkanoganCounty 2020-10-11 5
PacificCounty 2020-10-11 7
PendOreilleCounty 2020-10-11 16
PierceCounty 2020-10-11 562
SanJuanCounty 2020-10-11 1
SkagitCounty 2020-10-11 38
SkamaniaCounty 2020-10-11 6
SnohomishCounty 2020-10-11 484
SpokaneCounty 2020-10-11 569
StevensCounty 2020-10-11 22
ThurstonCounty 2020-10-11 154
WahkiakumCounty 2020-10-11 2
WallaWallaCounty 2020-10-11 54
WhatcomCounty 2020-10-11 48
WhitmanCounty 2020-10-11 135
YakimaCounty 2020-10-11 133
AdamsCounty 2020-10-18 11
AsotinCounty 2020-10-18 44
BentonCounty 2020-10-18 179
ChelanCounty 2020-10-18 66
ClallamCounty 2020-10-18 12
ClarkCounty 2020-10-18 333
ColumbiaCounty 2020-10-18 2
CowlitzCounty 2020-10-18 23
DouglasCounty 2020-10-18 21
FerryCounty 2020-10-18 1
FranklinCounty 2020-10-18 153
GarfieldCounty 2020-10-18 0
GrantCounty 2020-10-18 56
GraysHarborCounty 2020-10-18 63
IslandCounty 2020-10-18 34
JeffersonCounty 2020-10-18 5
KingCounty 2020-10-18 1388
KitsapCounty 2020-10-18 67
KittitasCounty 2020-10-18 52
KlickitatCounty 2020-10-18 3
LewisCounty 2020-10-18 47
LincolnCounty 2020-10-18 9
MasonCounty 2020-10-18 23
OkanoganCounty 2020-10-18 19
PacificCounty 2020-10-18 6
PendOreilleCounty 2020-10-18 8
PierceCounty 2020-10-18 667
SanJuanCounty 2020-10-18 2
SkagitCounty 2020-10-18 46
SkamaniaCounty 2020-10-18 2
SnohomishCounty 2020-10-18 553
SpokaneCounty 2020-10-18 671
StevensCounty 2020-10-18 16
ThurstonCounty 2020-10-18 145
WahkiakumCounty 2020-10-18 0
WallaWallaCounty 2020-10-18 133
WhatcomCounty 2020-10-18 59
WhitmanCounty 2020-10-18 103
YakimaCounty 2020-10-18 160
AdamsCounty 2020-10-25 36
AsotinCounty 2020-10-25 92
BentonCounty 2020-10-25 315
ChelanCounty 2020-10-25 115
ClallamCounty 2020-10-25 8
ClarkCounty 2020-10-25 499
ColumbiaCounty 2020-10-25 5
CowlitzCounty 2020-10-25 64
DouglasCounty 2020-10-25 28
FerryCounty 2020-10-25 1
FranklinCounty 2020-10-25 177
GarfieldCounty 2020-10-25 19
GrantCounty 2020-10-25 80
GraysHarborCounty 2020-10-25 37
IslandCounty 2020-10-25 24
JeffersonCounty 2020-10-25 3
KingCounty 2020-10-25 2004
KitsapCounty 2020-10-25 153
KittitasCounty 2020-10-25 44
KlickitatCounty 2020-10-25 3
LewisCounty 2020-10-25 52
LincolnCounty 2020-10-25 7
MasonCounty 2020-10-25 26
OkanoganCounty 2020-10-25 24
PacificCounty 2020-10-25 3
PendOreilleCounty 2020-10-25 12
PierceCounty 2020-10-25 769
SanJuanCounty 2020-10-25 2
SkagitCounty 2020-10-25 62
SkamaniaCounty 2020-10-25 1
SnohomishCounty 2020-10-25 618
SpokaneCounty 2020-10-25 841
StevensCounty 2020-10-25 46
ThurstonCounty 2020-10-25 179
WahkiakumCounty 2020-10-25 1
WallaWallaCounty 2020-10-25 168
WhatcomCounty 2020-10-25 54
WhitmanCounty 2020-10-25 60
YakimaCounty 2020-10-25 227
AdamsCounty 2020-11-01 83
AsotinCounty 2020-11-01 136
BentonCounty 2020-11-01 561
ChelanCounty 2020-11-01 185
ClallamCounty 2020-11-01 16
ClarkCounty 2020-11-01 835
ColumbiaCounty 2020-11-01 2
CowlitzCounty 2020-11-01 126
DouglasCounty 2020-11-01 85
FerryCounty 2020-11-01 3
FranklinCounty 2020-11-01 253
GarfieldCounty 2020-11-01 16
GrantCounty 2020-11-01 165
GraysHarborCounty 2020-11-01 78
IslandCounty 2020-11-01 36
JeffersonCounty 2020-11-01 9
KingCounty 2020-11-01 3160
KitsapCounty 2020-11-01 218
KittitasCounty 2020-11-01 51
KlickitatCounty 2020-11-01 13
LewisCounty 2020-11-01 79
LincolnCounty 2020-11-01 5
MasonCounty 2020-11-01 46
OkanoganCounty 2020-11-01 12
PacificCounty 2020-11-01 39
PendOreilleCounty 2020-11-01 16
PierceCounty 2020-11-01 1222
SanJuanCounty 2020-11-01 5
SkagitCounty 2020-11-01 154
SkamaniaCounty 2020-11-01 2
SnohomishCounty 2020-11-01 1163
SpokaneCounty 2020-11-01 1339
StevensCounty 2020-11-01 66
ThurstonCounty 2020-11-01 293
WahkiakumCounty 2020-11-01 0
WallaWallaCounty 2020-11-01 260
WhatcomCounty 2020-11-01 104
WhitmanCounty 2020-11-01 102
YakimaCounty 2020-11-01 251
AdamsCounty 2020-11-08 146
AsotinCounty 2020-11-08 149
BentonCounty 2020-11-08 705
ChelanCounty 2020-11-08 281
ClallamCounty 2020-11-08 45
ClarkCounty 2020-11-08 1041
ColumbiaCounty 2020-11-08 3
CowlitzCounty 2020-11-08 167
DouglasCounty 2020-11-08 133
FerryCounty 2020-11-08 6
FranklinCounty 2020-11-08 520
GarfieldCounty 2020-11-08 11
GrantCounty 2020-11-08 281
GraysHarborCounty 2020-11-08 85
IslandCounty 2020-11-08 73
JeffersonCounty 2020-11-08 23
KingCounty 2020-11-08 4410
KitsapCounty 2020-11-08 236
KittitasCounty 2020-11-08 68
KlickitatCounty 2020-11-08 14
LewisCounty 2020-11-08 129
LincolnCounty 2020-11-08 35
MasonCounty 2020-11-08 43
OkanoganCounty 2020-11-08 23
PacificCounty 2020-11-08 45
PendOreilleCounty 2020-11-08 20
PierceCounty 2020-11-08 1753
SanJuanCounty 2020-11-08 13
SkagitCounty 2020-11-08 238
SkamaniaCounty 2020-11-08 10
SnohomishCounty 2020-11-08 1396
SpokaneCounty 2020-11-08 1796
StevensCounty 2020-11-08 109
ThurstonCounty 2020-11-08 390
WahkiakumCounty 2020-11-08 4
WallaWallaCounty 2020-11-08 290
WhatcomCounty 2020-11-08 212
WhitmanCounty 2020-11-08 141
YakimaCounty 2020-11-08 505
AdamsCounty 2020-11-15 139
AsotinCounty 2020-11-15 114
BentonCounty 2020-11-15 827
ChelanCounty 2020-11-15 390
ClallamCounty 2020-11-15 91
ClarkCounty 2020-11-15 1231
ColumbiaCounty 2020-11-15 12
CowlitzCounty 2020-11-15 234
DouglasCounty 2020-11-15 175
FerryCounty 2020-11-15 16
FranklinCounty 2020-11-15 613
GarfieldCounty 2020-11-15 5
GrantCounty 2020-11-15 348
GraysHarborCounty 2020-11-15 105
IslandCounty 2020-11-15 91
JeffersonCounty 2020-11-15 27
KingCounty 2020-11-15 5274
KitsapCounty 2020-11-15 277
KittitasCounty 2020-11-15 127
KlickitatCounty 2020-11-15 18
LewisCounty 2020-11-15 175
LincolnCounty 2020-11-15 36
MasonCounty 2020-11-15 79
OkanoganCounty 2020-11-15 94
PacificCounty 2020-11-15 157
PendOreilleCounty 2020-11-15 17
PierceCounty 2020-11-15 2268
SanJuanCounty 2020-11-15 6
SkagitCounty 2020-11-15 245
SkamaniaCounty 2020-11-15 13
SnohomishCounty 2020-11-15 1712
SpokaneCounty 2020-11-15 2169
StevensCounty 2020-11-15 150
ThurstonCounty 2020-11-15 400
WahkiakumCounty 2020-11-15 7
WallaWallaCounty 2020-11-15 275
WhatcomCounty 2020-11-15 301
WhitmanCounty 2020-11-15 192
YakimaCounty 2020-11-15 773
AdamsCounty 2020-11-22 53
AsotinCounty 2020-11-22 69
BentonCounty 2020-11-22 658
ChelanCounty 2020-11-22 364
ClallamCounty 2020-11-22 64
ClarkCounty 2020-11-22 1030
ColumbiaCounty 2020-11-22 13
CowlitzCounty 2020-11-22 197
DouglasCounty 2020-11-22 161
FerryCounty 2020-11-22 28
FranklinCounty 2020-11-22 484
GarfieldCounty 2020-11-22 5
GrantCounty 2020-11-22 209
GraysHarborCounty 2020-11-22 71
IslandCounty 2020-11-22 61
JeffersonCounty 2020-11-22 17
KingCounty 2020-11-22 4532
KitsapCounty 2020-11-22 272
KittitasCounty 2020-11-22 140
KlickitatCounty 2020-11-22 36
LewisCounty 2020-11-22 178
LincolnCounty 2020-11-22 20
MasonCounty 2020-11-22 143
OkanoganCounty 2020-11-22 33
PacificCounty 2020-11-22 70
PendOreilleCounty 2020-11-22 49
PierceCounty 2020-11-22 2051
SanJuanCounty 2020-11-22 1
SkagitCounty 2020-11-22 197
SkamaniaCounty 2020-11-22 9
SnohomishCounty 2020-11-22 1628
SpokaneCounty 2020-11-22 2169
StevensCounty 2020-11-22 121
ThurstonCounty 2020-11-22 314
WahkiakumCounty 2020-11-22 11
WallaWallaCounty 2020-11-22 198
WhatcomCounty 2020-11-22 230
WhitmanCounty 2020-11-22 90
YakimaCounty 2020-11-22 659
AdamsCounty 2020-11-29 89
AsotinCounty 2020-11-29 92
BentonCounty 2020-11-29 877
ChelanCounty 2020-11-29 376
ClallamCounty 2020-11-29 76
ClarkCounty 2020-11-29 1141
ColumbiaCounty 2020-11-29 16
CowlitzCounty 2020-11-29 266
DouglasCounty 2020-11-29 195
FerryCounty 2020-11-29 49
FranklinCounty 2020-11-29 674
GarfieldCounty 2020-11-29 2
GrantCounty 2020-11-29 366
GraysHarborCounty 2020-11-29 268
IslandCounty 2020-11-29 83
JeffersonCounty 2020-11-29 21
KingCounty 2020-11-29 5159
KitsapCounty 2020-11-29 389
KittitasCounty 2020-11-29 139
KlickitatCounty 2020-11-29 38
LewisCounty 2020-11-29 320
LincolnCounty 2020-11-29 21
MasonCounty 2020-11-29 251
OkanoganCounty 2020-11-29 86
PacificCounty 2020-11-29 33
PendOreilleCounty 2020-11-29 61
PierceCounty 2020-11-29 2309
SanJuanCounty 2020-11-29 4
SkagitCounty 2020-11-29 319
SkamaniaCounty 2020-11-29 25
SnohomishCounty 2020-11-29 1877
SpokaneCounty 2020-11-29 2587
StevensCounty 2020-11-29 160
ThurstonCounty 2020-11-29 383
WahkiakumCounty 2020-11-29 8
WallaWallaCounty 2020-11-29 206
WhatcomCounty 2020-11-29 266
WhitmanCounty 2020-11-29 122
YakimaCounty 2020-11-29 1097
AdamsCounty 2020-12-06 74
AsotinCounty 2020-12-06 60
BentonCounty 2020-12-06 792
ChelanCounty 2020-12-06 294
ClallamCounty 2020-12-06 33
ClarkCounty 2020-12-06 1004
ColumbiaCounty 2020-12-06 6
CowlitzCounty 2020-12-06 243
DouglasCounty 2020-12-06 162
FerryCounty 2020-12-06 11
FranklinCounty 2020-12-06 567
GarfieldCounty 2020-12-06 0
GrantCounty 2020-12-06 433
GraysHarborCounty 2020-12-06 243
IslandCounty 2020-12-06 54
JeffersonCounty 2020-12-06 10
KingCounty 2020-12-06 4580
KitsapCounty 2020-12-06 290
KittitasCounty 2020-12-06 119
KlickitatCounty 2020-12-06 60
LewisCounty 2020-12-06 237
LincolnCounty 2020-12-06 17
MasonCounty 2020-12-06 163
OkanoganCounty 2020-12-06 105
PacificCounty 2020-12-06 35
PendOreilleCounty 2020-12-06 41
PierceCounty 2020-12-06 2070
SanJuanCounty 2020-12-06 7
SkagitCounty 2020-12-06 278
SkamaniaCounty 2020-12-06 15
SnohomishCounty 2020-12-06 1725
SpokaneCounty 2020-12-06 2313
StevensCounty 2020-12-06 106
ThurstonCounty 2020-12-06 347
WahkiakumCounty 2020-12-06 2
WallaWallaCounty 2020-12-06 223
WhatcomCounty 2020-12-06 219
WhitmanCounty 2020-12-06 76
YakimaCounty 2020-12-06 1011
AdamsCounty 2020-12-13 58
AsotinCounty 2020-12-13 62
BentonCounty 2020-12-13 743
ChelanCounty 2020-12-13 287
ClallamCounty 2020-12-13 60
ClarkCounty 2020-12-13 888
ColumbiaCounty 2020-12-13 13
CowlitzCounty 2020-12-13 229
DouglasCounty 2020-12-13 112
FerryCounty 2020-12-13 16
FranklinCounty 2020-12-13 424
GarfieldCounty 2020-12-13 9
GrantCounty 2020-12-13 393
GraysHarborCounty 2020-12-13 540
IslandCounty 2020-12-13 44
JeffersonCounty 2020-12-13 9
KingCounty 2020-12-13 3941
KitsapCounty 2020-12-13 265
KittitasCounty 2020-12-13 152
KlickitatCounty 2020-12-13 41
LewisCounty 2020-12-13 256
LincolnCounty 2020-12-13 9
MasonCounty 2020-12-13 170
OkanoganCounty 2020-12-13 118
PacificCounty 2020-12-13 31
PendOreilleCounty 2020-12-13 45
PierceCounty 2020-12-13 1866
SanJuanCounty 2020-12-13 1
SkagitCounty 2020-12-13 230
SkamaniaCounty 2020-12-13 21
SnohomishCounty 2020-12-13 1563
SpokaneCounty 2020-12-13 2019
StevensCounty 2020-12-13 92
ThurstonCounty 2020-12-13 355
WahkiakumCounty 2020-12-13 3
WallaWallaCounty 2020-12-13 491
WhatcomCounty 2020-12-13 218
WhitmanCounty 2020-12-13 111
YakimaCounty 2020-12-13 1355
AdamsCounty 2020-12-20 26
AsotinCounty 2020-12-20 38
BentonCounty 2020-12-20 461
ChelanCounty 2020-12-20 200
ClallamCounty 2020-12-20 43
ClarkCounty 2020-12-20 702
ColumbiaCounty 2020-12-20 4
CowlitzCounty 2020-12-20 157
DouglasCounty 2020-12-20 110
FerryCounty 2020-12-20 9
FranklinCounty 2020-12-20 315
GarfieldCounty 2020-12-20 13
GrantCounty 2020-12-20 245
GraysHarborCounty 2020-12-20 175
IslandCounty 2020-12-20 35
JeffersonCounty 2020-12-20 12
KingCounty 2020-12-20 2985
KitsapCounty 2020-12-20 256
KittitasCounty 2020-12-20 121
KlickitatCounty 2020-12-20 39
LewisCounty 2020-12-20 160
LincolnCounty 2020-12-20 18
MasonCounty 2020-12-20 114
OkanoganCounty 2020-12-20 88
PacificCounty 2020-12-20 17
PendOreilleCounty 2020-12-20 28
PierceCounty 2020-12-20 1550
SanJuanCounty 2020-12-20 2
SkagitCounty 2020-12-20 166
SkamaniaCounty 2020-12-20 14
SnohomishCounty 2020-12-20 1260
SpokaneCounty 2020-12-20 1422
StevensCounty 2020-12-20 47
ThurstonCounty 2020-12-20 282
WahkiakumCounty 2020-12-20 2
WallaWallaCounty 2020-12-20 268
WhatcomCounty 2020-12-20 151
WhitmanCounty 2020-12-20 82
YakimaCounty 2020-12-20 1185
AdamsCounty 2020-12-27 42
AsotinCounty 2020-12-27 73
BentonCounty 2020-12-27 694
ChelanCounty 2020-12-27 261
ClallamCounty 2020-12-27 38
ClarkCounty 2020-12-27 1163
ColumbiaCounty 2020-12-27 2
CowlitzCounty 2020-12-27 266
DouglasCounty 2020-12-27 153
FerryCounty 2020-12-27 9
FranklinCounty 2020-12-27 403
GarfieldCounty 2020-12-27 3
