county week total.cases
SkagitCounty 2020-04-12 61
SkamaniaCounty 2020-04-12 0
SnohomishCounty 2020-04-12 234
SpokaneCounty 2020-04-12 37
StevensCounty 2020-04-12 1
ThurstonCounty 2020-04-12 13
WahkiakumCounty 2020-04-12 0
WallaWallaCounty 2020-04-12 12
WhatcomCounty 2020-04-12 15
WhitmanCounty 2020-04-12 2
YakimaCounty 2020-04-12 240
AdamsCounty 2020-04-19 4
AsotinCounty 2020-04-19 4
BentonCounty 2020-04-19 125
ChelanCounty 2020-04-19 15
ClallamCounty 2020-04-19 3
ClarkCounty 2020-04-19 31
ColumbiaCounty 2020-04-19 0
CowlitzCounty 2020-04-19 7
DouglasCounty 2020-04-19 14
FerryCounty 2020-04-19 0
FranklinCounty 2020-04-19 118
GarfieldCounty 2020-04-19 0
GrantCounty 2020-04-19 15
GraysHarborCounty 2020-04-19 0
IslandCounty 2020-04-19 0
JeffersonCounty 2020-04-19 0
KingCounty 2020-04-19 654
KitsapCounty 2020-04-19 8
KittitasCounty 2020-04-19 0
KlickitatCounty 2020-04-19 0
LewisCounty 2020-04-19 7
LincolnCounty 2020-04-19 0
MasonCounty 2020-04-19 3
OkanoganCounty 2020-04-19 8
PacificCounty 2020-04-19 1
PendOreilleCounty 2020-04-19 0
PierceCounty 2020-04-19 159
SanJuanCounty 2020-04-19 0
SkagitCounty 2020-04-19 53
SkamaniaCounty 2020-04-19 0
SnohomishCounty 2020-04-19 193
SpokaneCounty 2020-04-19 38
StevensCounty 2020-04-19 1
ThurstonCounty 2020-04-19 10
WahkiakumCounty 2020-04-19 0
WallaWallaCounty 2020-04-19 33
WhatcomCounty 2020-04-19 10
WhitmanCounty 2020-04-19 1
YakimaCounty 2020-04-19 259
AdamsCounty 2020-04-26 2
AsotinCounty 2020-04-26 0
BentonCounty 2020-04-26 81
ChelanCounty 2020-04-26 31
ClallamCounty 2020-04-26 2
ClarkCounty 2020-04-26 25
ColumbiaCounty 2020-04-26 0
CowlitzCounty 2020-04-26 21
DouglasCounty 2020-04-26 10
FerryCounty 2020-04-26 0
FranklinCounty 2020-04-26 55
GarfieldCounty 2020-04-26 0
GrantCounty 2020-04-26 21
GraysHarborCounty 2020-04-26 1
IslandCounty 2020-04-26 4
JeffersonCounty 2020-04-26 0
KingCounty 2020-04-26 644
KitsapCounty 2020-04-26 2
KittitasCounty 2020-04-26 2
KlickitatCounty 2020-04-26 1
LewisCounty 2020-04-26 0
LincolnCounty 2020-04-26 0
MasonCounty 2020-04-26 3
OkanoganCounty 2020-04-26 1
PacificCounty 2020-04-26 4
PendOreilleCounty 2020-04-26 0
PierceCounty 2020-04-26 171
SanJuanCounty 2020-04-26 0
SkagitCounty 2020-04-26 55
SkamaniaCounty 2020-04-26 0
SnohomishCounty 2020-04-26 199
SpokaneCounty 2020-04-26 24
StevensCounty 2020-04-26 0
ThurstonCounty 2020-04-26 7
WahkiakumCounty 2020-04-26 0
WallaWallaCounty 2020-04-26 20
WhatcomCounty 2020-04-26 32
WhitmanCounty 2020-04-26 0
YakimaCounty 2020-04-26 367
AdamsCounty 2020-05-03 1
AsotinCounty 2020-05-03 0
BentonCounty 2020-05-03 53
ChelanCounty 2020-05-03 26
ClallamCounty 2020-05-03 0
ClarkCounty 2020-05-03 23
ColumbiaCounty 2020-05-03 0
CowlitzCounty 2020-05-03 7
DouglasCounty 2020-05-03 33
FerryCounty 2020-05-03 0
FranklinCounty 2020-05-03 41
GarfieldCounty 2020-05-03 0
GrantCounty 2020-05-03 4
GraysHarborCounty 2020-05-03 1
IslandCounty 2020-05-03 7
JeffersonCounty 2020-05-03 1
KingCounty 2020-05-03 512
KitsapCounty 2020-05-03 3
KittitasCounty 2020-05-03 25
KlickitatCounty 2020-05-03 5
LewisCounty 2020-05-03 2
LincolnCounty 2020-05-03 0
MasonCounty 2020-05-03 3
OkanoganCounty 2020-05-03 5
PacificCounty 2020-05-03 1
PendOreilleCounty 2020-05-03 0
PierceCounty 2020-05-03 168
SanJuanCounty 2020-05-03 1
SkagitCounty 2020-05-03 43
SkamaniaCounty 2020-05-03 0
SnohomishCounty 2020-05-03 144
SpokaneCounty 2020-05-03 14
StevensCounty 2020-05-03 0
ThurstonCounty 2020-05-03 8
WahkiakumCounty 2020-05-03 2
WallaWallaCounty 2020-05-03 14
WhatcomCounty 2020-05-03 20
WhitmanCounty 2020-05-03 1
YakimaCounty 2020-05-03 499
AdamsCounty 2020-05-10 1
AsotinCounty 2020-05-10 0
BentonCounty 2020-05-10 68
ChelanCounty 2020-05-10 32
ClallamCounty 2020-05-10 2
ClarkCounty 2020-05-10 20
ColumbiaCounty 2020-05-10 0
CowlitzCounty 2020-05-10 1
DouglasCounty 2020-05-10 12
FerryCounty 2020-05-10 0
FranklinCounty 2020-05-10 50
GarfieldCounty 2020-05-10 0
GrantCounty 2020-05-10 6
GraysHarborCounty 2020-05-10 1
IslandCounty 2020-05-10 1
JeffersonCounty 2020-05-10 0
KingCounty 2020-05-10 446
KitsapCounty 2020-05-10 4
KittitasCounty 2020-05-10 23
KlickitatCounty 2020-05-10 2
LewisCounty 2020-05-10 4
LincolnCounty 2020-05-10 0
MasonCounty 2020-05-10 3
OkanoganCounty 2020-05-10 12
PacificCounty 2020-05-10 0
PendOreilleCounty 2020-05-10 0
PierceCounty 2020-05-10 112
SanJuanCounty 2020-05-10 0
SkagitCounty 2020-05-10 23
SkamaniaCounty 2020-05-10 0
SnohomishCounty 2020-05-10 117
SpokaneCounty 2020-05-10 24
StevensCounty 2020-05-10 1
ThurstonCounty 2020-05-10 3
WahkiakumCounty 2020-05-10 0
WallaWallaCounty 2020-05-10 2
WhatcomCounty 2020-05-10 20
WhitmanCounty 2020-05-10 2
YakimaCounty 2020-05-10 596
AdamsCounty 2020-05-17 6
AsotinCounty 2020-05-17 1
BentonCounty 2020-05-17 94
ChelanCounty 2020-05-17 51
ClallamCounty 2020-05-17 4
ClarkCounty 2020-05-17 76
ColumbiaCounty 2020-05-17 0
CowlitzCounty 2020-05-17 4
DouglasCounty 2020-05-17 30
FerryCounty 2020-05-17 0
FranklinCounty 2020-05-17 73
GarfieldCounty 2020-05-17 0
GrantCounty 2020-05-17 16
GraysHarborCounty 2020-05-17 1
IslandCounty 2020-05-17 1
JeffersonCounty 2020-05-17 0
KingCounty 2020-05-17 338
KitsapCounty 2020-05-17 2
KittitasCounty 2020-05-17 20
KlickitatCounty 2020-05-17 0
LewisCounty 2020-05-17 0
LincolnCounty 2020-05-17 0
MasonCounty 2020-05-17 2
