"","week","Cluster Number","Cluster Size","Location IDs included","Overlap with clusters","Coordinates / radius","Gini Cluster","Population","Number of cases","Expected cases","Annual cases / 100000","Observed / expected","Relative risk","Log likelihood ratio","P-value"
"114",2020-04-19,"3",5,"PierceCounty, ThurstonCounty, LewisCounty, KingCounty, KitsapCounty","6, 7, 9","(1.23248e+006,625805) / 253694.22","No","3800478","476","1188.82","653.5","0.40","0.25","457.059498","< 0.00000000000000001"
"115",2020-04-19,"4",2,"BentonCounty, FranklinCounty","1","(1.89069e+006,331893) / 188235.16","Yes","299612","459","93.72","7993.5","4.90","5.83","394.790169","< 0.00000000000000001"
"116",2020-04-19,"5",5,"ClallamCounty, JeffersonCounty, SanJuanCounty, IslandCounty, MasonCounty","No Overlap","(801611,1.03148e+006) / 333500.10","Yes","279043","7","87.29","130.9","0.080","0.077","64.012301","< 0.00000000000000001"
"117",2020-04-19,"6",1,"KitsapCounty","3","(1.11058e+006,848293) / 0","Yes","271473","14","84.92","269.1","0.16","0.16","46.765650","< 0.00000000000000001"
"118",2020-04-19,"7",1,"ThurstonCounty","3","(1.05793e+006,590671) / 0","Yes","290536","27","90.88","484.9","0.30","0.29","31.993857","0.00000000000070"
"119",2020-04-19,"8",2,"DouglasCounty, GrantCounty","1","(1.83894e+006,877161) / 202690.70","Yes","141162","105","44.16","3881.1","2.38","2.44","30.908163","0.0000000000020"
"120",2020-04-19,"9",1,"LewisCounty","3","(1.1646e+006,459931) / 0","Yes","80707","1","25.25","64.7","0.040","0.039","21.141434","0.000000026"
"121",2020-04-19,"10",3,"PacificCounty, WahkiakumCounty, GraysHarborCounty","No Overlap","(815687,461225) / 216565.26","Yes","102020","5","31.91","255.7","0.16","0.15","17.798366","0.00000067"
"122",2020-04-19,"11",3,"PendOreilleCounty, StevensCounty, FerryCounty","No Overlap","(2.4223e+006,1.18238e+006) / 302323.40","Yes","67074","3","20.98","233.4","0.14","0.14","12.214531","0.00015"
"123",2020-04-19,"12",3,"WhitmanCounty, GarfieldCounty, ColumbiaCounty","No Overlap","(2.38439e+006,585653) / 240388.35","Yes","56314","2","17.62","185.3","0.11","0.11","11.315665","0.00036"
"124",2020-04-19,"13",1,"SkagitCounty","No Overlap","(1.32441e+006,1.15149e+006) / 0","Yes","129205","15","40.42","605.8","0.37","0.37","10.686040","0.00067"
"125",2020-04-19,"14",1,"WhatcomCounty","No Overlap","(1.30964e+006,1.27888e+006) / 0","Yes","229247","43","71.71","978.7","0.60","0.59","6.896290","0.029"
"126",2020-04-19,"15",1,"SkamaniaCounty","No Overlap","(1.28088e+006,254383) / 0","No","12083","0","3.78","0","0","0","3.782662","0.428"
"127",2020-04-19,"16",1,"LincolnCounty","No Overlap","(2.15415e+006,824679) / 0","No","10939","0","3.42","0","0","0","3.424268","0.541"
"128",2020-04-26,"1",8,"BentonCounty, FranklinCounty, WallaWallaCounty, YakimaCounty, KlickitatCounty, GrantCounty, AdamsCounty, ColumbiaCounty","No Overlap","(1.89069e+006,331893) / 406052.15","Yes","755371","1638","295.90","11314.5","5.54","11.06","1872.112887","< 0.00000000000000001"
"129",2020-04-26,"2",5,"PierceCounty, ThurstonCounty, LewisCounty, KingCounty, KitsapCounty","3, 4","(1.23248e+006,625805) / 253694.22","No","3800478","703","1488.77","965.2","0.47","0.31","435.951990","< 0.00000000000000001"
"130",2020-04-26,"3",8,"GraysHarborCounty, MasonCounty, PacificCounty, JeffersonCounty, ThurstonCounty, WahkiakumCounty, KitsapCounty, ClallamCounty","2","(812614,677769) / 353880.74","Yes","840349","43","329.19","267.0","0.13","0.12","213.573069","< 0.00000000000000001"
"131",2020-04-26,"4",1,"PierceCounty","2","(1.23248e+006,625805) / 0","Yes","904980","165","354.51","951.3","0.47","0.43","69.992618","< 0.00000000000000001"
"132",2020-04-26,"5",2,"SkamaniaCounty, ClarkCounty","No Overlap","(1.28088e+006,254383) / 169418.69","Yes","500324","67","195.99","698.7","0.34","0.33","60.016307","< 0.00000000000000001"
"133",2020-04-26,"6",1,"SnohomishCounty","No Overlap","(1.34135e+006,991759) / 0","Yes","822083","174","322.04","1104.4","0.54","0.51","44.963964","< 0.00000000000000001"
"134",2020-04-26,"7",3,"PendOreilleCounty, StevensCounty, FerryCounty","No Overlap","(2.4223e+006,1.18238e+006) / 302323.40","Yes","67074","0","26.28","0","0","0","26.391459","0.00000000014"
"135",2020-04-26,"8",3,"WhatcomCounty, SkagitCounty, SanJuanCounty","No Overlap","(1.30964e+006,1.27888e+006) / 284613.08","Yes","376034","86","147.30","1193.3","0.58","0.57","15.681230","0.0000049"
"136",2020-04-26,"9",3,"ChelanCounty, DouglasCounty, KittitasCounty","No Overlap","(1.61141e+006,924343) / 271648.09","No","168564","41","66.03","1269.1","0.62","0.62","5.599826","0.088"
"137",2020-05-03,"1",4,"BentonCounty, FranklinCounty, WallaWallaCounty, YakimaCounty","No Overlap","(1.89069e+006,331893) / 319817.65","Yes","611245","1499","320.52","12795.9","4.68","6.89","1347.256874","< 0.00000000000000001"
"138",2020-05-03,"2",10,"ClallamCounty, JeffersonCounty, SanJuanCounty, IslandCounty, MasonCounty, GraysHarborCounty, KitsapCounty, ThurstonCounty, SkagitCounty, SnohomishCounty","3, 5, 8","(801611,1.03148e+006) / 541195.78","No","1867401","351","979.20","980.7","0.36","0.30","329.439270","< 0.00000000000000001"
"139",2020-05-03,"3",7,"ClallamCounty, JeffersonCounty, SanJuanCounty, IslandCounty, MasonCounty, GraysHarborCounty, KitsapCounty","2","(801611,1.03148e+006) / 359191.29","Yes","625577","66","328.03","550.5","0.20","0.19","165.355505","< 0.00000000000000001"
"140",2020-05-03,"4",2,"KingCounty, PierceCounty","No Overlap","(1.31014e+006,789600) / 181272.91","No","3157762","1163","1655.83","1921.7","0.70","0.58","130.591657","< 0.00000000000000001"
"141",2020-05-03,"5",5,"WahkiakumCounty, PacificCounty, CowlitzCounty, ThurstonCounty, LewisCounty","2","(899146,363108) / 282563.86","Yes","508795","105","266.80","1076.8","0.39","0.38","67.343511","< 0.00000000000000001"
"142",2020-05-03,"6",5,"LincolnCounty, AdamsCounty, SpokaneCounty, GrantCounty, DouglasCounty","No Overlap","(2.15415e+006,824679) / 319551.95","Yes","694882","522","364.37","3919.6","1.43","1.50","33.500704","0.00000000000013"
"143",2020-05-03,"7",3,"PendOreilleCounty, StevensCounty, FerryCounty","No Overlap","(2.4223e+006,1.18238e+006) / 302323.40","Yes","67074","3","35.17","233.4","0.085","0.085","24.916942","0.00000000058"
"144",2020-05-03,"8",1,"SkagitCounty","2","(1.32441e+006,1.15149e+006) / 0","Yes","129205","25","67.75","1009.6","0.37","0.37","18.058793","0.00000048"
"145",2020-05-03,"9",3,"WhitmanCounty, GarfieldCounty, ColumbiaCounty","No Overlap","(2.38439e+006,585653) / 240388.35","Yes","56314","5","29.53","463.3","0.17","0.17","15.725250","0.0000047"
"146",2020-05-10,"1",9,"GrantCounty, DouglasCounty, AdamsCounty, FranklinCounty, LincolnCounty, KittitasCounty, BentonCounty, ChelanCounty, YakimaCounty","2, 3, 8","(1.90055e+006,684059) / 421561.97","No","847704","1792","516.64","203.7","3.47","5.02","1174.804234","< 0.00000000000000001"
"147",2020-05-10,"2",4,"KlickitatCounty, YakimaCounty, SkamaniaCounty, BentonCounty","1","(1.56668e+006,197511) / 350777.90","Yes","489771","1025","298.50","201.7","3.43","4.12","602.502471","< 0.00000000000000001"
"148",2020-05-10,"3",2,"AdamsCounty, FranklinCounty","1","(2.12431e+006,607716) / 184314.37","Yes","115205","455","70.21","380.6","6.48","7.08","482.170285","< 0.00000000000000001"
"149",2020-05-10,"4",10,"ClallamCounty, JeffersonCounty, SanJuanCounty, IslandCounty, MasonCounty, GraysHarborCounty, KitsapCounty, ThurstonCounty, SkagitCounty, SnohomishCounty","5, 6, 9","(801611,1.03148e+006) / 541195.78","No","1867401","438","1138.11","22.6","0.38","0.32","347.583354","< 0.00000000000000001"
"150",2020-05-10,"5",6,"JeffersonCounty, ClallamCounty, MasonCounty, KitsapCounty, GraysHarborCounty, IslandCounty","4","(884182,906149) / 282694.95","Yes","607995","82","370.55","13.0","0.22","0.21","174.408699","< 0.00000000000000001"
"151",2020-05-10,"6",5,"WahkiakumCounty, PacificCounty, CowlitzCounty, ThurstonCounty, LewisCounty","4","(899146,363108) / 282563.86","Yes","508795","109","310.09","20.6","0.35","0.34","91.728124","< 0.00000000000000001"
"152",2020-05-10,"7",2,"KingCounty, PierceCounty","No Overlap","(1.31014e+006,789600) / 181272.91","No","3157762","1504","1924.54","45.9","0.78","0.68","80.707513","< 0.00000000000000001"
"153",2020-05-10,"8",4,"OkanoganCounty, DouglasCounty, FerryCounty, ChelanCounty","1","(1.82458e+006,1.17369e+006) / 328046.60","Yes","170499","234","103.91","132.3","2.25","2.32","61.749595","< 0.00000000000000001"
"154",2020-05-10,"9",3,"WhatcomCounty, SkagitCounty, SanJuanCounty","4","(1.30964e+006,1.27888e+006) / 284613.08","Yes","376034","97","229.18","24.9","0.42","0.41","50.739728","< 0.00000000000000001"
"155",2020-05-10,"10",1,"SpokaneCounty","No Overlap","(2.40375e+006,848913) / 0","Yes","522798","489","318.63","90.1","1.53","1.60","42.489062","< 0.00000000000000001"
"156",2020-05-17,"1",9,"GrantCounty, DouglasCounty, AdamsCounty, FranklinCounty, LincolnCounty, KittitasCounty, BentonCounty, ChelanCounty, YakimaCounty","2, 6","(1.90055e+006,684059) / 421561.97","No","847704","2124","621.18","241.5","3.42","4.91","1363.522635","< 0.00000000000000001"
"157",2020-05-17,"2",7,"BentonCounty, FranklinCounty, WallaWallaCounty, YakimaCounty, KlickitatCounty, GrantCounty, AdamsCounty","1","(1.89069e+006,331893) / 361461.86","Yes","751386","1892","550.60","242.7","3.44","4.69","1191.380416","< 0.00000000000000001"
"158",2020-05-17,"3",5,"PierceCounty, ThurstonCounty, LewisCounty, KingCounty, KitsapCounty","4, 8","(1.23248e+006,625805) / 253694.22","No","3800478","1828","2784.89","46.4","0.66","0.49","335.095002","< 0.00000000000000001"
"159",2020-05-17,"4",7,"ClallamCounty, JeffersonCounty, SanJuanCounty, IslandCounty, MasonCounty, GraysHarborCounty, KitsapCounty","3, 5","(801611,1.03148e+006) / 359191.29","Yes","625577","121","458.41","18.6","0.26","0.25","187.116686","< 0.00000000000000001"
"160",2020-05-17,"5",5,"WhatcomCounty, SkagitCounty, SanJuanCounty, SnohomishCounty, IslandCounty","4, 7","(1.30964e+006,1.27888e+006) / 297686.67","No","1283258","487","940.34","36.6","0.52","0.47","154.364154","< 0.00000000000000001"
"161",2020-05-17,"6",2,"ChelanCounty, DouglasCounty","1","(1.61141e+006,924343) / 232370.80","Yes","120629","255","88.39","203.7","2.88","2.98","106.109644","< 0.00000000000000001"
"162",2020-05-17,"7",1,"WhatcomCounty","5","(1.30964e+006,1.27888e+006) / 0","Yes","229247","51","167.99","21.4","0.30","0.30","57.446833","< 0.00000000000000001"
"163",2020-05-17,"8",5,"WahkiakumCounty, PacificCounty, CowlitzCounty, ThurstonCounty, LewisCounty","3","(899146,363108) / 282563.86","Yes","508795","207","372.83","39.2","0.56","0.54","46.644352","< 0.00000000000000001"
"164",2020-05-17,"9",1,"SpokaneCounty","No Overlap","(2.40375e+006,848913) / 0","Yes","522798","502","383.09","92.5","1.31","1.34","18.165598","0.00000032"
"165",2020-05-24,"1",12,"GrantCounty, DouglasCounty, AdamsCounty, FranklinCounty, LincolnCounty, KittitasCounty, BentonCounty, ChelanCounty, YakimaCounty, WallaWallaCounty, WhitmanCounty, OkanoganCounty","2, 4","(1.90055e+006,684059) / 495490.31","No","1000811","2123","750.32","204.4","2.83","3.91","1045.864909","< 0.00000000000000001"
"166",2020-05-24,"2",9,"DouglasCounty, GrantCounty, ChelanCounty, OkanoganCounty, LincolnCounty, KittitasCounty, AdamsCounty, FerryCounty, FranklinCounty","1","(1.83894e+006,877161) / 480548.84","Yes","442311","1238","331.61","269.7","3.73","4.49","805.510153","< 0.00000000000000001"
"167",2020-05-24,"3",9,"JeffersonCounty, ClallamCounty, MasonCounty, KitsapCounty, GraysHarborCounty, IslandCounty, SanJuanCounty, ThurstonCounty, KingCounty","5, 6","(884182,906149) / 441613.85","No","3168895","1511","2375.77","46.0","0.64","0.50","284.533657","< 0.00000000000000001"
"168",2020-05-24,"4",4,"KlickitatCounty, YakimaCounty, SkamaniaCounty, BentonCounty","1, 8","(1.56668e+006,197511) / 350777.90","Yes","489771","833","367.19","163.9","2.27","2.49","237.474231","< 0.00000000000000001"
"169",2020-05-24,"5",7,"ClallamCounty, JeffersonCounty, SanJuanCounty, IslandCounty, MasonCounty, GraysHarborCounty, KitsapCounty","3","(801611,1.03148e+006) / 359191.29","Yes","625577","173","469.00","26.7","0.37","0.35","131.675448","< 0.00000000000000001"
"170",2020-05-24,"6",5,"WahkiakumCounty, PacificCounty, CowlitzCounty, ThurstonCounty, LewisCounty","3, 8","(899146,363108) / 282563.86","Yes","508795","196","381.45","37.1","0.51","0.50","58.132010","< 0.00000000000000001"
"171",2020-05-24,"7",1,"WhatcomCounty","No Overlap","(1.30964e+006,1.27888e+006) / 0","Yes","229247","75","171.87","31.5","0.44","0.43","35.518643","0.000000000000054"
"172",2020-05-24,"8",5,"SkamaniaCounty, ClarkCounty, CowlitzCounty, LewisCounty, KlickitatCounty","4, 6","(1.28088e+006,254383) / 291402.71","No","714049","389","535.33","52.5","0.73","0.71","24.171854","0.0000000025"
"173",2020-05-24,"9",1,"SpokaneCounty","No Overlap","(2.40375e+006,848913) / 0","Yes","522798","526","391.95","97.0","1.34","1.38","22.386150","0.000000013"
"174",2020-05-31,"1",15,"GrantCounty, DouglasCounty, AdamsCounty, FranklinCounty, LincolnCounty, KittitasCounty, BentonCounty, ChelanCounty, YakimaCounty, WallaWallaCounty, WhitmanCounty, OkanoganCounty, ColumbiaCounty, FerryCounty, SpokaneCounty","No Overlap","(1.90055e+006,684059) / 529521.58","Yes","1535221","2615","1133.04","164.2","2.31","3.45","982.390704","< 0.00000000000000001"
"175",2020-05-31,"2",6,"SkagitCounty, WhatcomCounty, SnohomishCounty, IslandCounty, SanJuanCounty, KingCounty","3, 5","(1.32441e+006,1.15149e+006) / 362166.92","No","3536040","1673","2609.69","45.6","0.64","0.49","325.458031","< 0.00000000000000001"
"176",2020-05-31,"3",10,"ClallamCounty, JeffersonCounty, SanJuanCounty, IslandCounty, MasonCounty, GraysHarborCounty, KitsapCounty, ThurstonCounty, SkagitCounty, SnohomishCounty","2, 4","(801611,1.03148e+006) / 541195.78","Yes","1867401","717","1378.19","37.0","0.52","0.45","241.712868","< 0.00000000000000001"
"177",2020-05-31,"4",7,"WahkiakumCounty, PacificCounty, CowlitzCounty, ThurstonCounty, LewisCounty, ClarkCounty, GraysHarborCounty","3, 6","(899146,363108) / 326341.62","No","1072097","360","791.24","32.4","0.45","0.42","166.446419","< 0.00000000000000001"
"178",2020-05-31,"5",1,"KingCounty","2","(1.31014e+006,789600) / 0","Yes","2252782","1171","1662.61","50.1","0.70","0.63","110.484803","< 0.00000000000000001"
"179",2020-05-31,"6",4,"SkamaniaCounty, ClarkCounty, CowlitzCounty, LewisCounty","4","(1.28088e+006,254383) / 236156.57","Yes","691624","256","510.44","35.7","0.50","0.48","84.006678","< 0.00000000000000001"
"180",2020-05-31,"7",1,"PierceCounty","No Overlap","(1.23248e+006,625805) / 0","No","904980","745","667.90","79.3","1.12","1.13","4.891409","0.170"
"181",2020-06-07,"1",15,"GrantCounty, DouglasCounty, AdamsCounty, FranklinCounty, LincolnCounty, KittitasCounty, BentonCounty, ChelanCounty, YakimaCounty, WallaWallaCounty, WhitmanCounty, OkanoganCounty, ColumbiaCounty, FerryCounty, SpokaneCounty","No Overlap","(1.90055e+006,684059) / 529521.58","Yes","1535221","2260","1020.13","141.9","2.22","3.20","771.214361","< 0.00000000000000001"
"182",2020-06-07,"2",9,"JeffersonCounty, ClallamCounty, MasonCounty, KitsapCounty, GraysHarborCounty, IslandCounty, SanJuanCounty, ThurstonCounty, KingCounty","3, 4","(884182,906149) / 441613.85","No","3168895","1384","2105.69","42.1","0.66","0.53","222.610385","< 0.00000000000000001"
"183",2020-06-07,"3",10,"ClallamCounty, JeffersonCounty, SanJuanCounty, IslandCounty, MasonCounty, GraysHarborCounty, KitsapCounty, ThurstonCounty, SkagitCounty, SnohomishCounty","2","(801611,1.03148e+006) / 541195.78","Yes","1867401","738","1240.86","38.1","0.59","0.53","151.126719","< 0.00000000000000001"
"184",2020-06-07,"4",1,"KingCounty","2","(1.31014e+006,789600) / 0","Yes","2252782","1092","1496.95","46.7","0.73","0.66","82.697196","< 0.00000000000000001"
"185",2020-06-07,"5",5,"SkamaniaCounty, ClarkCounty, CowlitzCounty, LewisCounty, KlickitatCounty","No Overlap","(1.28088e+006,254383) / 291402.71","Yes","714049","247","474.48","33.3","0.52","0.50","71.780265","< 0.00000000000000001"
"186",2020-06-14,"1",15,"GrantCounty, DouglasCounty, AdamsCounty, FranklinCounty, LincolnCounty, KittitasCounty, BentonCounty, ChelanCounty, YakimaCounty, WallaWallaCounty, WhitmanCounty, OkanoganCounty, ColumbiaCounty, FerryCounty, SpokaneCounty","No Overlap","(1.90055e+006,684059) / 529521.58","Yes","1535221","1938","905.02","121.7","2.14","3.01","608.393095","< 0.00000000000000001"
"187",2020-06-14,"2",6,"SkagitCounty, WhatcomCounty, SnohomishCounty, IslandCounty, SanJuanCounty, KingCounty","3, 5","(1.32441e+006,1.15149e+006) / 362166.92","No","3536040","1444","2084.51","39.4","0.69","0.55","188.997159","< 0.00000000000000001"
"188",2020-06-14,"3",8,"SanJuanCounty, IslandCounty, WhatcomCounty, ClallamCounty, SkagitCounty, JeffersonCounty, KitsapCounty, SnohomishCounty","2, 4","(1.04005e+006,1.18764e+006) / 359373.54","Yes","1664283","544","981.10","31.5","0.55","0.49","142.455957","< 0.00000000000000001"
"189",2020-06-14,"4",13,"PacificCounty, WahkiakumCounty, GraysHarborCounty, ThurstonCounty, CowlitzCounty, MasonCounty, LewisCounty, ClarkCounty, PierceCounty, JeffersonCounty, KitsapCounty, SkamaniaCounty, ClallamCounty","3, 6","(815687,461225) / 570426.80","No","2436953","1062","1436.59","42.0","0.74","0.66","75.838756","< 0.00000000000000001"
"190",2020-06-14,"5",1,"KingCounty","2","(1.31014e+006,789600) / 0","Yes","2252782","1001","1328.02","42.8","0.75","0.68","60.409119","< 0.00000000000000001"
"191",2020-06-14,"6",7,"WahkiakumCounty, PacificCounty, CowlitzCounty, ThurstonCounty, LewisCounty, ClarkCounty, GraysHarborCounty","4","(899146,363108) / 326341.62","Yes","1072097","405","632.00","36.4","0.64","0.61","53.328373","< 0.00000000000000001"
"192",2020-06-21,"1",5,"PierceCounty, ThurstonCounty, LewisCounty, KingCounty, KitsapCounty","No Overlap","(1.23248e+006,625805) / 253694.22","No","3800478","0","0.50","0","0","0","0.691319","0.502"
"193",2020-06-28,"1",12,"GrantCounty, DouglasCounty, AdamsCounty, FranklinCounty, LincolnCounty, KittitasCounty, BentonCounty, ChelanCounty, YakimaCounty, WallaWallaCounty, WhitmanCounty, OkanoganCounty","No Overlap","(1.90055e+006,684059) / 495490.31","Yes","1000811","1357","530.84","130.7","2.56","3.34","553.449678","< 0.00000000000000001"
"194",2020-06-28,"2",7,"IslandCounty, SanJuanCounty, KitsapCounty, SnohomishCounty, SkagitCounty, JeffersonCounty, WhatcomCounty","No Overlap","(1.13394e+006,1.03858e+006) / 297686.67","Yes","1586952","446","841.73","27.1","0.53","0.47","135.996438","< 0.00000000000000001"
"195",2020-06-28,"3",10,"CowlitzCounty, LewisCounty, ClarkCounty, WahkiakumCounty, SkamaniaCounty, ThurstonCounty, PacificCounty, PierceCounty, MasonCounty, GraysHarborCounty","No Overlap","(1.08827e+006,321229) / 450676.56","Yes","2055928","781","1090.48","36.6","0.72","0.65","64.485429","< 0.00000000000000001"
"196",2020-06-28,"4",1,"KingCounty","No Overlap","(1.31014e+006,789600) / 0","Yes","2252782","1029","1194.89","44.0","0.86","0.81","16.836059","0.0000016"
"197",2020-07-05,"1",12,"GrantCounty, DouglasCounty, AdamsCounty, FranklinCounty, LincolnCounty, KittitasCounty, BentonCounty, ChelanCounty, YakimaCounty, WallaWallaCounty, WhitmanCounty, OkanoganCounty","2, 3, 9","(1.90055e+006,684059) / 495490.31","No","1000811","1177","446.07","113.3","2.64","3.51","510.257419","< 0.00000000000000001"
"198",2020-07-05,"2",6,"AdamsCounty, FranklinCounty, LincolnCounty, GrantCounty, WhitmanCounty, WallaWallaCounty","1","(2.12431e+006,607716) / 275709.89","Yes","334741","598","149.20","172.2","4.01","4.65","413.994638","< 0.00000000000000001"
"199",2020-07-05,"3",2,"ChelanCounty, DouglasCounty","1","(1.61141e+006,924343) / 232370.80","Yes","120629","205","53.77","163.8","3.81","3.99","126.610943","< 0.00000000000000001"
"200",2020-07-05,"4",6,"SkagitCounty, WhatcomCounty, SnohomishCounty, IslandCounty, SanJuanCounty, KingCounty","5, 7","(1.32441e+006,1.15149e+006) / 362166.92","No","3536040","1126","1576.03","30.7","0.71","0.57","123.029433","< 0.00000000000000001"
"201",2020-07-05,"5",3,"SanJuanCounty, IslandCounty, WhatcomCounty","4","(1.04005e+006,1.18764e+006) / 284613.08","Yes","331970","37","147.96","10.7","0.25","0.24","61.553027","< 0.00000000000000001"
"202",2020-07-05,"6",9,"ClarkCounty, CowlitzCounty, SkamaniaCounty, LewisCounty, WahkiakumCounty, ThurstonCounty, PacificCounty, KlickitatCounty, PierceCounty","8, 9, 11","(1.13459e+006,168921) / 467251.46","No","1936524","622","863.12","31.0","0.72","0.66","48.481701","< 0.00000000000000001"
"203",2020-07-05,"7",1,"SnohomishCounty","4","(1.34135e+006,991759) / 0","Yes","822083","225","366.41","26.4","0.61","0.59","34.939041","0.000000000000045"
"204",2020-07-05,"8",4,"WahkiakumCounty, PacificCounty, CowlitzCounty, ThurstonCounty","6","(899146,363108) / 277484.75","Yes","428088","91","190.80","20.5","0.48","0.46","33.966135","0.00000000000012"
"205",2020-07-05,"9",4,"KlickitatCounty, YakimaCounty, SkamaniaCounty, BentonCounty","1, 6","(1.56668e+006,197511) / 350777.90","Yes","489771","320","218.29","63.0","1.47","1.51","22.333507","0.0000000089"
"206",2020-07-05,"10",1,"GraysHarborCounty","No Overlap","(812614,677769) / 0","Yes","75061","71","33.46","91.2","2.12","2.15","16.091382","0.0000037"
"207",2020-07-05,"11",1,"PierceCounty","6","(1.23248e+006,625805) / 0","Yes","904980","330","403.35","35.1","0.82","0.80","8.008226","0.013"
"208",2020-07-05,"12",4,"JeffersonCounty, ClallamCounty, MasonCounty, KitsapCounty","No Overlap","(884182,906149) / 233673.40","No","447793","161","199.58","34.6","0.81","0.80","4.228286","0.284"
"209",2020-07-12,"1",5,"AdamsCounty, FranklinCounty, LincolnCounty, GrantCounty, WhitmanCounty","No Overlap","(2.12431e+006,607716) / 261015.43","Yes","273981","687","121.83","241.6","5.64","6.82","675.178364","< 0.00000000000000001"
"210",2020-07-12,"2",13,"PacificCounty, WahkiakumCounty, GraysHarborCounty, ThurstonCounty, CowlitzCounty, MasonCounty, LewisCounty, ClarkCounty, PierceCounty, JeffersonCounty, KitsapCounty, SkamaniaCounty, ClallamCounty","4, 6, 7, 8","(815687,461225) / 570426.80","No","2436953","690","1083.60","27.3","0.64","0.54","114.043505","< 0.00000000000000001"
"211",2020-07-12,"3",6,"SkagitCounty, WhatcomCounty, SnohomishCounty, IslandCounty, SanJuanCounty, KingCounty","4, 9","(1.32441e+006,1.15149e+006) / 362166.92","No","3536040","1165","1572.32","31.8","0.74","0.61","100.669368","< 0.00000000000000001"
"212",2020-07-12,"4",7,"SanJuanCounty, IslandCounty, WhatcomCounty, ClallamCounty, SkagitCounty, JeffersonCounty, KitsapCounty","2, 3","(1.04005e+006,1.18764e+006) / 346597.00","Yes","842200","168","374.49","19.2","0.45","0.42","78.742750","< 0.00000000000000001"
"213",2020-07-12,"5",2,"ChelanCounty, DouglasCounty","No Overlap","(1.61141e+006,924343) / 232370.80","Yes","120629","148","53.64","118.2","2.76","2.84","57.199568","< 0.00000000000000001"
"214",2020-07-12,"6",5,"WahkiakumCounty, PacificCounty, CowlitzCounty, ThurstonCounty, LewisCounty","2","(899146,363108) / 282563.86","Yes","508795","105","226.24","19.9","0.46","0.45","42.933995","< 0.00000000000000001"
"215",2020-07-12,"7",4,"KlickitatCounty, YakimaCounty, SkamaniaCounty, BentonCounty","2","(1.56668e+006,197511) / 350777.90","Yes","489771","338","217.78","66.5","1.55","1.61","30.662301","0.0000000000017"
"216",2020-07-12,"8",1,"PierceCounty","2","(1.23248e+006,625805) / 0","Yes","904980","283","402.40","30.1","0.70","0.68","22.143250","0.0000000077"
"217",2020-07-12,"9",1,"SnohomishCounty","3","(1.34135e+006,991759) / 0","Yes","822083","257","365.54","30.1","0.70","0.68","19.927330","0.000000069"
"218",2020-07-19,"1",5,"AdamsCounty, FranklinCounty, LincolnCounty, GrantCounty, WhitmanCounty","No Overlap","(2.12431e+006,607716) / 261015.43","Yes","273981","713","113.70","250.8","6.27","7.81","772.981567","< 0.00000000000000001"
"219",2020-07-19,"2",5,"SnohomishCounty, SkagitCounty, KingCounty, IslandCounty, KitsapCounty","3, 4","(1.34135e+006,991759) / 271728.44","No","3560684","954","1477.60","25.8","0.65","0.49","180.351171","< 0.00000000000000001"
"220",2020-07-19,"3",9,"SanJuanCounty, IslandCounty, WhatcomCounty, ClallamCounty, SkagitCounty, JeffersonCounty, KitsapCounty, SnohomishCounty, MasonCounty","2","(1.04005e+006,1.18764e+006) / 445497.66","Yes","1731051","339","718.35","18.9","0.47","0.41","152.823763","< 0.00000000000000001"
"221",2020-07-19,"4",1,"KingCounty","2","(1.31014e+006,789600) / 0","Yes","2252782","684","934.85","29.3","0.73","0.66","50.785935","< 0.00000000000000001"
"222",2020-07-19,"5",2,"ChelanCounty, DouglasCounty","No Overlap","(1.61141e+006,924343) / 232370.80","Yes","120629","127","50.06","101.5","2.54","2.60","42.255077","< 0.00000000000000001"
"223",2020-07-19,"6",2,"PierceCounty, ThurstonCounty","7","(1.23248e+006,625805) / 178049.36","Yes","1195516","325","496.11","26.2","0.66","0.62","39.025703","0.00000000000000011"
"224",2020-07-19,"7",6,"LewisCounty, CowlitzCounty, ThurstonCounty, PierceCounty, SkamaniaCounty, WahkiakumCounty","6","(1.1646e+006,459931) / 282563.86","No","1403387","414","582.37","28.4","0.71","0.67","32.480431","0.00000000000011"
"225",2020-07-26,"1",16,"FranklinCounty, WallaWallaCounty, AdamsCounty, BentonCounty, ColumbiaCounty, GrantCounty, GarfieldCounty, WhitmanCounty, LincolnCounty, AsotinCounty, YakimaCounty, DouglasCounty, KittitasCounty, KlickitatCounty, SpokaneCounty, ChelanCounty","2, 9","(2.04323e+006,442195) / 647248.69","No","1532583","1201","537.77","75.5","2.23","3.24","417.525473","< 0.00000000000000001"
"226",2020-07-26,"2",15,"PendOreilleCounty, StevensCounty, FerryCounty, SpokaneCounty, LincolnCounty, OkanoganCounty, WhitmanCounty, AdamsCounty, DouglasCounty, GrantCounty, GarfieldCounty, ColumbiaCounty, FranklinCounty, ChelanCounty, AsotinCounty","1","(2.4223e+006,1.18238e+006) / 853565.51","Yes","1055517","946","370.37","86.4","2.55","3.41","390.337157","< 0.00000000000000001"
"227",2020-07-26,"3",5,"SnohomishCounty, SkagitCounty, KingCounty, IslandCounty, KitsapCounty","4, 7","(1.34135e+006,991759) / 271728.44","No","3560684","812","1249.41","22.0","0.65","0.50","148.750910","< 0.00000000000000001"
