	GMRF Skyride: washington_sub_600_150M_comb.log			
Time	Mean	Median	Upper	Lower
2020.7513661202186	0.31265914895094993	0.23123785336157918	1.0638663911497304	0.045630564628653364
2020.7451207069546	0.31777864160827896	0.24408186773153281	1.022847654278457	0.053609308349816254
2020.7388752936906	0.33858514094951186	0.2676541981439108	1.022579893599455	0.07071917783675703
2020.7326298804267	0.36783691381097855	0.30128182596691866	1.0406719287331474	0.09143669859235842
2020.7263844671627	0.3937654693419011	0.3298810751468531	1.0460957810939822	0.10827623738819905
2020.7201390538987	0.4220169889879197	0.3599329788650617	1.0795338902424323	0.12120038073011016
2020.7138936406348	0.46648419214868414	0.4027601337207243	1.1525832922670192	0.14579828834862726
2020.7076482273708	0.5581460895603336	0.49337152558334585	1.2965871002874587	0.19813839744529066
2020.7014028141068	0.7063787562498919	0.6397810301197919	1.4935205518697683	0.2793633537090389
2020.6951574008428	0.9262491023733074	0.8427423396383859	1.9440441506382957	0.38480071739872906
2020.6889119875789	1.1626281539713341	1.0637585601175017	2.3772324898797392	0.5013269711619063
2020.682666574315	1.3850322566204158	1.2646916913504984	2.8414285992257566	0.6064367600059224
2020.676421161051	1.6215707410228903	1.4866209182235808	3.297539641642286	0.7463426861337643
2020.670175747787	1.7902578446600763	1.6403116092524326	3.607041178316679	0.8109685978073384
2020.663930334523	2.01666238092659	1.8468966748323319	4.079999398512781	0.9219168072760752
2020.657684921259	2.304126261165743	2.1095312405519953	4.662250527567988	1.0463428102402088
2020.651439507995	2.605445595729685	2.394260168684839	5.288979988796867	1.1718994579957704
2020.645194094731	2.8076923433168948	2.5698187367561567	5.725127176427938	1.2612512901919213
2020.6389486814671	2.980197463617439	2.7100184381857066	6.359287915314535	1.309924352154452
2020.6327032682032	3.219519794782331	2.9185033082142176	6.911645187947308	1.420437194337894
2020.6264578549392	3.4365212875072917	3.1102810859111516	7.3981048702136265	1.5111255546852902
2020.6202124416752	3.5747300790578183	3.242016890682218	7.52590599992961	1.5590606483064386
2020.6139670284113	3.693714452303361	3.344039130513904	7.9412417492879435	1.5693815087392173
2020.6077216151473	3.9005356246878375	3.521648732693802	8.305833360898763	1.6705783832326633
2020.6014762018833	4.121521674582542	3.7329603549140415	8.75018979350319	1.7725979271353953
2020.5952307886193	4.2889329300483	3.8908853639951655	9.257088152209358	1.8322919787519296
2020.5889853753554	4.389160340875836	3.9881939828658823	9.331553322190402	1.8602590001245092
2020.5827399620914	4.360527495689372	3.941351796946594	9.372911932053695	1.854475482625395
2020.5764945488274	4.226296786716449	3.8222718936860223	9.07333450348418	1.8303659743893081
2020.5702491355635	4.049889309240952	3.6599897483946227	8.719782019496632	1.7492168190386694
2020.5640037222995	3.8430029731293724	3.4651402549020394	8.221798268229668	1.6278677413825025
2020.5577583090355	3.6229603938479906	3.2895035200171905	7.687613568092129	1.5556928010840252
2020.5515128957716	3.3989166957063244	3.0828160123705	7.209547141416954	1.4647962002110506
2020.5452674825076	3.1811513536223726	2.8949787597568295	6.71017408200573	1.3912546583145367
2020.5390220692436	3.0114132995030736	2.7614000724166057	6.19000147001953	1.3231786216976202
